Action;Time;ISIN;Ticker;Name;ID;No. of shares;Price / share;Currency (Price / share);Total;Withholding tax;Currency (Withholding tax);Stamp duty reserve tax;Currency (Stamp duty reserve tax);Currency conversion fee;Currency (Currency conversion fee);French transaction tax;Currency (French transaction tax)
Market buy;2024-03-20 13:36:16.606;US86800U3023;SMCI;Super Micro Computer;EOF11900269761;0.0150136000;901.12;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-21 08:05:22.451;NL0012969182;ADYEN;Adyen;EOF11901547594;0.0084710600;1475.60;EUR;12.50;;;;;;;;
Market buy;2024-03-21 13:35:11.71;US5949181045;MSFT;Microsoft;EOF11902545185;0.0315762000;430.78;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-21 13:35:11.733;US86800U3023;SMCI;Super Micro Computer;EOF11902545191;0.0146965000;925.55;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-21 13:35:12.465;US67066G1040;NVDA;Nvidia;EOF11902545244;0.0148682000;914.86;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-22 08:05:09.258;NL0012969182;ADYEN;Adyen;EOF11953205386;0.0083689700;1493.60;EUR;12.50;;;;;;;;
Dividend (Dividend manufactured payment);22/11/2024 10:54;CA7800871021;RY;Royal Bank of Canada;;0.2956375000;0.86;USD;0.24;0.05;USD;;;;;;
Market buy;2024-03-22 13:35:05.739;US86800U3023;SMCI;Super Micro Computer;EOF12000459259;0.0139412000;968.81;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-22 13:35:05.929;US67066G1040;NVDA;Nvidia;EOF12000459297;0.0147457000;915.95;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-22 13:35:06.039;CA1363851017;CNQ;Canadian Natural Resources;EOF12000459308;0.0294030000;74.23;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:06.076;US7427181091;PG;Procter & Gamble;EOF12000459315;0.0134695000;162.04;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:06.178;US1101221083;BMY;Bristol-Myers Squibb;EOF12000459335;0.0420370000;51.92;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:06.202;CA7800871021;RY;Royal Bank of Canada;EOF12000459340;0.0216527000;100.80;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:06.258;US09290D1019;BLK;BlackRock;EOF12000459349;0.0012960000;842.00;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:06.303;US0530151036;ADP;Automatic Data Processing;EOF12000459358;0.0043727000;249.57;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:06.324;US17275R1023;CSCO;Cisco Systems;EOF12000459361;0.0218560000;49.93;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:06.348;US5949181045;MSFT;Microsoft;EOF12000459367;0.0315326000;428.33;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-22 13:35:06.367;US9311421039;WMT;Walmart;EOF12000459373;0.0536270000;61.25;USD;3.04;;;;;;;;
Market buy;2024-03-22 13:35:06.394;US0378331005;AAPL;Apple;EOF12000459379;0.1281692000;170.80;USD;20.26;;;;;0.03;EUR;;
Market buy;2024-03-22 13:35:06.415;US5949181045;MSFT;Microsoft;EOF12000459388;0.0460126000;428.33;USD;18.24;;;;;0.03;EUR;;
Market buy;2024-03-22 13:35:06.432;CH0044328745;CB;Chubb;EOF12000459391;0.0042474000;256.93;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:06.447;US00123Q1040;AGNC;AGNC Investment;EOF12000459397;0.1104500000;9.88;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:06.466;US4592001014;IBM;IBM;EOF12000459406;0.0113606000;192.12;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:06.482;US6935061076;PPG;PPG Industries;EOF12000459409;0.0075974000;143.64;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:06.506;US46625H1005;JPM;JPMorgan Chase & Co;EOF12000459412;0.0109458000;199.40;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:06.531;US85254J1025;STAG;STAG Industrial;EOF12000459415;0.0284780000;38.32;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:06.548;US57636Q1040;MA;Mastercard;EOF12000459418;0.0044658000;488.73;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:06.651;CA8911605092;TD;Toronto-Dominion Bank;EOF12000459424;0.0181180000;60.23;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.02;AN8068571086;SLB;Schlumberger;EOF12000459440;0.0199030000;54.83;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.037;US0084921008;ADC;Agree Realty;EOF12000459443;0.0192970000;56.55;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.139;US6703461052;NUE;Nucor;EOF12000459449;0.0055410000;196.95;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.162;US0394831020;ADM;Archer-Daniels-Midland;EOF12000459452;0.0173630000;62.85;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.181;US5486611073;LOW;Lowe's;EOF12000459455;0.0041620000;262.20;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.245;US7134481081;PEP;PepsiCo;EOF12000459459;0.0126571000;172.44;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:07.266;US0010551028;AFL;Aflac;EOF12000459466;0.0128490000;84.93;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.416;US5801351017;MCD;McDonald's;EOF12000459476;0.0077025000;283.36;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:07.597;US4781601046;JNJ;Johnson & Johnson;EOF12000459495;0.0140197000;155.68;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:07.676;US8718291078;SYY;Sysco;EOF12000459511;0.0133900000;81.50;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.906;US8552441094;SBUX;Starbucks;EOF12000459565;0.0120220000;90.77;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:07.927;US4943681035;KMB;Kimberly-Clark;EOF12000459576;0.0087304000;125.00;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:08.414;US2788651006;ECL;Ecolab;EOF12000459652;0.0047567000;229.42;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:08.719;US2910111044;EMR;Emerson Electric;EOF12000459698;0.0096935000;112.58;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:08.807;US7561091049;O;Realty Income;EOF12000459713;0.0413910000;52.73;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:09.138;US3765361080;GOOD;Gladstone Commercial;EOF12000459759;0.0800070000;13.64;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:09.423;US74348T1025;PSEC;Prospect Capital;EOF12000459798;0.1980500000;5.51;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:09.991;US3695501086;GD;General Dynamics;EOF12000459834;0.0077336000;282.22;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:10.406;US3546131018;BEN;Franklin Resources;EOF12000459873;0.0392410000;27.81;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:10.694;US1912161007;KO;Coca-Cola;EOF12000459940;0.0360810000;60.49;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:10.766;US74144T1088;TROW;T Rowe Price;EOF12000459961;0.0090496000;120.59;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:10.801;US7766961061;ROP;Roper Technologies;EOF12000459970;0.0019487000;560.00;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:14.076;US8243481061;SHW;Sherwin-Williams;EOF12000460402;0.0031474000;346.73;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:14.77;US3848021040;GWW;WW Grainger;EOF12000460471;0.0010583000;1031.18;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:15.773;US5021751020;LTC;LTC Properties;EOF12000460512;0.0661790000;32.98;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:16.613;US4523081093;ITW;Illinois Tool Works;EOF12000460572;0.0040290000;270.86;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:17.158;US14149Y1082;CAH;Cardinal Health;EOF12000460585;0.0193167000;112.99;USD;2.02;;;;;;;;
Market buy;2024-03-22 13:35:17.581;US56035L1044;MAIN;Main Street Capital;EOF12000460604;0.0236260000;46.19;USD;1.01;;;;;;;;
Market buy;2024-03-22 13:35:22.819;US58470H1014;MED;Medifast;EOF12000461389;0.0303300000;35.98;USD;1.01;;;;;;;;
Market buy;2024-03-25 08:05:54.08;NL0012969182;ADYEN;Adyen;EOF12051290078;0.0083399300;1498.80;EUR;12.50;;;;;;;;
Market buy;2024-03-25 13:35:18.821;US5949181045;MSFT;Microsoft;EOF12101120511;0.0318690000;424.33;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-25 13:35:18.932;US67066G1040;NVDA;Nvidia;EOF12101120532;0.0143632000;941.50;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-25 13:35:19.515;US86800U3023;SMCI;Super Micro Computer;EOF12101120678;0.0137828000;981.15;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-25 13:36:07.244;US5949181045;MSFT;Microsoft;EOF12101127354;0.0318408000;424.69;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-25 13:36:07.312;US86800U3023;SMCI;Super Micro Computer;EOF12101127372;0.0136316000;991.99;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-25 13:36:08.008;NL0012969182;ADYEN;Adyen;EOF12101127442;0.0083903200;1489.80;EUR;12.50;;;;;;;;
Market buy;2024-03-25 13:36:08.331;US67066G1040;NVDA;Nvidia;EOF12101127475;0.0143201000;944.30;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-26 08:05:20.842;NL0012969182;ADYEN;Adyen;EOF12103440911;0.0066577200;1502.00;EUR;10.00;;;;;;;;
Market buy;2024-03-26 13:35:28.067;US5949181045;MSFT;Microsoft;EOF12104594582;0.0255162000;424.64;USD;9.99;;;;;0.01;EUR;;
Market buy;2024-03-26 13:35:28.226;US67066G1040;NVDA;Nvidia;EOF12104594591;0.0112770000;960.82;USD;9.99;;;;;0.01;EUR;;
Market buy;2024-03-26 13:35:28.405;US86800U3023;SMCI;Super Micro Computer;EOF12104594611;0.0097989500;1105.75;USD;9.99;;;;;0.01;EUR;;
Market buy;2024-03-26 15:12:23.474;US4781601046;JNJ;Johnson & Johnson;EOF12150833463;0.3500000000;155.52;USD;50.30;;;;;0.08;EUR;;
Market buy;2024-03-26 15:21:00.149;NL0010273215;ASML;ASML;EOF12150835225;0.0219787000;904.90;EUR;19.89;;;;;;;;
Market buy;2024-03-26 15:21:01.016;NL0010273215;ASML;ASML;EOF12150835244;0.1480213000;904.80;EUR;133.93;;;;;;;;
Market buy;2024-03-27 08:05:32.268;NL0010273215;ASML;ASML;EOF12151892736;0.0097689000;900.80;EUR;8.80;;;;;;;;
Market buy;2024-03-27 08:05:35.335;NL0012969182;ADYEN;Adyen;EOF12151892966;0.0058153600;1582.00;EUR;9.20;;;;;;;;
Dividend (Dividend);10/12/2024 13:15;US4592001014;IBM;IBM;;0.1747171000;1.42;USD;0.23;0.04;USD;;;;;;
Dividend (Dividend);01/08/2024 10:24;US1101221083;BMY;Bristol-Myers Squibb;;0.4416680000;0.51;USD;0.21;0.04;USD;;;;;;
Dividend (Dividend);14/02/2024 12:47;NL0010273215;ASML;ASML;;0.1600000000;1.23;EUR;0.20;0.03;EUR;;;;;;
Market buy;2024-03-27 13:35:35.558;US67066G1040;NVDA;Nvidia;EOF12200750333;0.0108037000;919.60;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-03-27 13:35:35.611;US5949181045;MSFT;Microsoft;EOF12200750336;0.0234989000;422.79;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-03-27 13:35:39.536;US86800U3023;SMCI;Super Micro Computer;EOF12200750589;0.0037933300;1024.85;USD;3.60;;;;;0.01;EUR;;
Market buy;2024-03-28 08:05:45.5;NL0010273215;ASML;ASML;EOF12203102135;0.0098049000;897.50;EUR;8.80;;;;;;;;
Market buy;2024-03-28 08:05:52.831;NL0012969182;ADYEN;Adyen;EOF12203102369;0.0058375000;1576.00;EUR;9.20;;;;;;;;
Market buy;2024-03-28 13:36:56.515;US86800U3023;SMCI;Super Micro Computer;EOF12250479153;0.0038456400;1010.39;USD;3.60;;;;;0.01;EUR;;
Market buy;2024-03-28 13:36:56.711;US67066G1040;NVDA;Nvidia;EOF12250479168;0.0110867000;895.66;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-03-28 13:36:56.808;US5949181045;MSFT;Microsoft;EOF12250479171;0.0236456000;419.95;USD;9.20;;;;;0.01;EUR;;
Dividend (Dividend);14/03/2024 10:13;US5949181045;MSFT;Microsoft;;0.3416577000;0.64;USD;0.20;0.04;USD;;;;;;
Dividend (Dividend);01/05/2024 08:47;US1101221083;BMY;Bristol-Myers Squibb;;0.3883980000;0.51;USD;0.19;0.03;USD;;;;;;
Dividend (Dividend);23/08/2024 08:48;CA7800871021;RY;Royal Bank of Canada;;0.2384245000;0.89;USD;0.19;0.04;USD;;;;;;
Dividend (Dividend);27/03/2024 12:25;IE00B8GKDB10;VHYL;Vanguard FTSE All-World High Dividend Yield (Dist);;0.5239370000;0.29;GBP;0.18;-0.00;GBP;;;;;;
Dividend (Dividend);05/07/2024 12:43;CA1363851017;CNQ;Canadian Natural Resources;;0.5987760000;0.33;USD;0.18;0.03;USD;;;;;;
Dividend (Dividend);16/12/2024 15:00;US5801351017;MCD;McDonald's;;0.1248977000;1.50;USD;0.18;0.03;USD;;;;;;
Dividend (Dividend);10/09/2024 13:28;US4592001014;IBM;IBM;;0.1314866000;1.42;USD;0.17;0.03;USD;;;;;;
